,Jobs,Company,Location,Summary,Description,Posted on,Job Url,Salary
656,Cashier & computer operator,Ram Babu Jatav (proprietor of Ulimate services),"Ratnagiri, Maharashtra","Prepare and reconcile customer balances.
Gather the information, check the authenticity, designs a format for representation.
Excel knowledge is mandatory.","We are looking back office executive & cashier for leading Bank.
The candidate has to assist and support administrative staff in their day to day operations.
Timing: 9:30am to 4:30pm
Experience/fresher will get hike in salary
No targets
Fixed day shift
Centralize pick and drop

Roles, Responsibilities and skills:
1. Assist and coordinate with sales and marketing teams.
2. Support sales staff in handling and documenting customer accounts.
3. Prepare and reconcile customer balances.
4. Gather the information, check the authenticity, designs a format for representation.
5. Excel knowledge is mandatory.

Skills:
6. 10th, 12th, and any Graduates.
7. FRESHERS ARE MOST WELCOME.
8. Communication skills.
9. Basic computer knowledge.
CONTACT HR. NEHA SHARMA 08375973695",30+ days ago,www.indeed.co.in/rc/clk?jk=8825f9f7aded441f&fccid=d45cd7e17c48425b&vjs=3,"₹3,60,000 - ₹8,10,000 a year"
657,"Overseer
new",CCL,"Ranchi, Jharkhand","To Apply for the job posting from CCL, please click on the Apply Now button below.
The supporting documents/ enclosures should be duly attested by the…","CCL Recruitment 2020 - Overseer Vacancies - Apply NowCCL Recruitment 2020-21: Employees State Insurance Corporation (CCL) announced Job notification to hire candidates who completed Diploma for the position of Overseer. To Apply for the job posting from CCL, please click on the Apply Now button below.Company Name: CCL
Post Name: Overseer
No of Posts: 23
Salary: Not Disclosed
Experience: 5 - 1fresher year
Education: Diploma
Location: Ranchi
Last Date: 30-07-2020

Selection Procedure:
Selection Will be Based either Written Exam/Interview

How To Apply:
1. Only Eligible departmental candidates of Central Coalfields Limited or any of the subsidiary company of Coal India Limited fulfilling all the Minimum Requisite Qualification (copy enclosed as Annexure — A) should send properly filled application in the prescribed format (Application Format Enclosed — Annexure B) along with all the relevant documents (including Caste Certificate,'PWD Certificate if applicable) in a sealed envelope to (Rectt.). Recruitment Department. 2nd Floor. Damodar Building, Central Coalfields Limited, Darbhanga House. Ranchi-834029"" preferably through Registered Post/Speed post only so as to reach on Or before 30.07.2020. Applications received after the last date in the Recruitment Deptt., CCL, Ranchi will be summarily rejected. Applications should be sent through proper channel Only

2. Applications sent Other than in prescribed format or incomplete applications or without all the enclosures or not forwarded through proper channel shall be rejected.

3. The supporting documents/ enclosures should be duly attested by the controlling authority of the candidate.

4. There is no age bar for Departmental Candidates and one Departmental Candidate may apply for more than one post if eligible.

5. The Management resenes the right to cancel the recruitment process at any time without assigning any reason whatsoever.

6. The cut-off date for all purposes regarding this Employment Notice is 30.07.2020

7. In case of any variation in the Hindi or English versions of the Employment Notice the English version shall be treated as authentic.",3 days ago,www.indeed.co.in/rc/clk?jk=f63c8572a191b545&fccid=5f7332085f3a8d1e&vjs=3,Not mentioned
658,RBB-PB-WD,HDFC Bank,"Jharia, Jharkhand",Migrating branch customers to use our wide range of direct banking channels for various requests Ensure that the customer query are attended to and resolve the…,"Job Description
A.
Operations: Custodian of Deliverables at branch i.
e, Welcome Kit, Cheque Book, ATM/Debit cards, Tatkal Kits.
As a custodian, ensure: a.
Customers as per SMS failed report in DMS are contacted to collect their deliverables from branch b.
Delivery of deliverables to customers at branch.
obtaining necessary id documents of customer / obtaining customer acknowledgement in combined tally cum delivery register c.
Ensure Low stock of deliverables are retained at branches d.
EOD Stock tally of Physical deliverables held at branch vis-vis stock tally report (DMS) e.
Destruction of deliverables which have exceeded their retention period.
f.
Ensure proper record of destruction of deliverables is maintained g.
Ensure proper delivery of retained card to customers keeping the fresh transaction slip and ID proof.
h.
Proper maintenance of Tax saving FD receipt received at branch and its delivery to customers.
i.
Ensure FD/RD certificates kept in safe custody inside the FRFC or vault.
j.
Re ordering of the tatkal kits with appropriate approvals.
k.
Ensuring tatkal reconciliation in place for fortnightly basis.
Accepting and processing of customer instructions and requests at branch i.
e Processing stop payment/ hot-listing requests immediately upon receipt at branch.
Maintain inward and outward courier register for all deliverables / documents received at branch / dispatched from branch.
Monitoring and timely indenting of branch stationery (other than security stationery) as required.
Monitoring of FTS and clearing hold instruction.
Generating and downloading of all BOD reports / handing over the reports to concerned staff at branch.
Ensure that 5-S norms are adhered to for individuals workstation.
Satisfactory audit at Welcome Desk operations Updation of all Customer Instructions in FTS.
Account transfers & Closures with appropriate approvals.
Updation of all liability leads in CRM next.
Ensuring LTR & Welcome calling Review report in place on daily basis.
Updation in ECall back system Ensure that any unprocessed instruction will be updated in pending instruction register by EOD Ensure Regular knowledge updation is by reading and understanding circulars issued in gyan line.
Ensure to follow process for Pending customer instructions/forms B.
Customer Service: To handle branch queries i.
e balance enquiries / clearing of cheque deposits / charges levied to customers account Issuance of Passbook / Statement of Accounts against written customer request and ensuring recovery of charges Non-disclosure of customer information to any bearer / third party.
Migrating branch customers to use our wide range of direct banking channels for various requests Ensure that the customer query are attended to and resolve the same in an efficient manner and within stipulated TATs a.
Recording complaints as per the specified process b.
Ensure that complaints do not get escalated c.
Improve customer communication on closures through scripts & mails.
Preventive complaint management a.
Asking for feedback from customers on products/services offered by us.
Ensure the correct product information is disseminated Contacting customers using the database and thereby increasing the credit card activation/offer Limit Enhancement & Upgrade Providing the customer necessary with necessary forms / Brochures on request Ensure maintenance of queue Effective migration of customers from physical mode to Digital Platform.
Ensure that customers avail of our Direct Banking Channels a.
Registering them with various DBCs b.
Giving them demonstration on the usage of the same and input the leads in CRMNext.
c.
Actively manage uptime of the Net Banking/ATM kiosks in the branch d.
Carry targets for improving any one DBC penetration exclusive of ATM DBC Penetration and transaction migration financial as well as non-financial a.
Migrate customers to opt for statement delivery through E-mail/Net and diverting customers for email ID updation / landline details updation through Net.
b.
CH 126 Calling & updation in portal C.
Sales: Ensure sales targets assigned by the BM/PBA from time to time are achieved Ensure all eligible asset leads are routed through DAP.
a.
Ensuring compliance of KYC, identification of customer and communication of product eligibility b.
Ensure that a higher cross sell conversion is achieved through the above calling.
c.
Booking of FD / RD Online Generate sales leads for the branch Providing Demos to customers on payment using Pay Zapp, Purchase through Smart Buy Calling Band 1 and 2 customers: Band 1 and 2 to be called with a view to: a.
Increase the balances thereby improving their banding b.
Cross selling income generating product which can give us adequate revenue thereby moving the customers to Band 3 c.
Concentrating on customers who have a CNR of between 900 1000 and targeting them for improving the banding d.
Escalating to PB Auth / BM cases where the banding improvement is not possible / customer not co-operating for further measures.

Skills
2. Banking Product & Process Knowledge",19 days ago,www.indeed.co.in/rc/clk?jk=d870d5f2faf38401&fccid=a6fab41a2a4262c5&vjs=3,Not mentioned
659,"Scientific Administrative Assistant /Field worker
new",ICAR-Indian Agricultural Research Institute,"New Delhi, Delhi",Applications are invited to attend Interview (in-person/ online through video conferencing) for the following posts under a DBT funded network project…,"Applications are invited to attend Interview (in-person/ online through video conferencing) for the following posts under a DBT funded network project Mainstreaming of Sesame germplasm for productivity enhancement through genomics assisted core development and trait discovery Sub - Project 3 at ICAR- IARI, New Delhi
Scientific Administrative Assistant /Field worker
No. of post: 01
Emoluments per month: Rs.18,000 +24% HRA
Essential qualification: Graduate degree in any discipline
Desirable Qualification:
Knowledge of working in lab, field and glasshouse for two years in a recognized university/institute labs
Knowledge of microsoft/window office and data input
Upper age limit: 45 years

Candidate Profile:

Knowledge of working in lab, field and glasshouse for two years

Experience:2 Years
Location:New Delhi
Education:Graduate degree in any discipline
Company:ICAR-Indian Agricultural Research Institute
SALARY:Rs.18,000 +24% HRA
Last Date:20 Jul 2020
Key Skills: Research Fellowship
Company details

ICAR-Indian Agricultural Research Institute

ICAR-Indian Agricultural Research Institute Pusa Campus, New Delhi - 110012, India",2 days ago,www.indeed.co.in/rc/clk?jk=35c44400bc0df6bb&fccid=feb89d31b40101c3&vjs=3,"₹18,000 a month"
660,"Automation tester
new",Larsen & Toubro Infotech Limited,India,"Required Skills: Core Java Object Oriented Programming concepts Basic Git (GitHub, GitLab, BitBucket or any other svn that uses GIT) TestNG Basic SQL should be…","We are looking for an experienced Sr. Test automation engineer who has strong understanding of Java and can work on API testing using Rest Assured testing framework. Required Skills: Core Java Object Oriented Programming concepts Basic Git (GitHub, GitLab, BitBucket or any other svn that uses GIT) TestNG Basic SQL should be willing to work late hours to have a daily overlap with US onsite team) Preferred: Programming design patterns Rest Assured Qualifications: Must have experience developing framework (this could be a personal project) Must have experience enhancing/updating framework and writing automation scripts in an enterprise environment Experience in functional and integration testing of RESTful APIs",3 days ago,www.indeed.co.in/rc/clk?jk=99bc7f6b27d045eb&fccid=b5f9e2f53707b441&vjs=3,Not mentioned
661,[Government] NTPC Recruitment 2020,NTPC Limited,India,"GDMO – 04 Posts, Monthly Remuneration: ₹ 82,000/- per month.
Logon to: NTPC-Limited-GDMO-Notification.pdf for more detailed information.","Government job &#10;


NTPC Limited

Notification for engagement of Adhoc GDMO for NTPC Kahalgaon Super Thermal Power Project.

GDMO – 04 Posts, Monthly Remuneration: ₹ 82,000/- per month

How to Apply: Eligible Interested candidates may send their scanned copy of self attested bio-data with their recent passport size colour photograph, copies of proof of Age, Caste Certificate, Academic Qualification, Experienced Profile, Medical Council of India Registration Certificate, Address for Correspondence, Mobile number and Email Address to NTPC – Kakhalgaon by email to adhocrecttkhalgoan@ntpc.co.in or before 18/07/2020.

Logon to: NTPC-Limited-GDMO-Notification.pdf for more detailed information.",18 days ago,www.indeed.co.in/rc/clk?jk=91678bb35497b48a&fccid=00c2cded3c035895&vjs=3,"₹82,000 a month"
662,"Network Control Group Agent
new",DHL,"New Delhi, Delhi","Ensure that all flights alerts, shipment and service information (electronic and/or manual) is retrieved and actioned on time and that any required paperwork or…","Role Profile
Organisational Background Information
BMR title / Role title
Network Control Group Agent
Corporate Division
Express
Business Division
Operations
Business Unit
Operations
Overall Role Purpose
Ensure that all flights alerts, shipment and service information (electronic and/or manual) is retrieved and actioned on time and that any required paperwork or data entry is accurately prepared and entered for transmission to the relevant destination on time.
Reports to
Network Control Supervisor
Band
Scope of Role
Budgeted T/O in m or bn €
[year]
Number of countries covered [year]
No. Of FTEs
[year]
Direct/Indirect reports [year]
N/A
Size of budget or assets

in m or bn €
Expected profit of business in m or bn €
Other relevant dimension
Other relevant dimension
Accountabilities
Key activities
Overall goals / Typical measures
Customer
External
DHL Customers and DHL Network
nProvide a tracing service for the network and interface with local country customer service on service problems and enquiries.
nProactive and immediate response to all customers.
CSI

Internal
DHL Network Service (Operation) Centres
§Carry out any administrative task that is required for the Operations Centre
§Perform network and administrative duties on behalf of the Network Control Group in order to provide and disseminate network and shipment information generally within tight time frames.
§Respond to tracing request from the network
NCG KPI achievement
Stakeholder
External
Airlines & other linehaul providers, suppliers
nSpace booking for both own charter and commercial airlines.
nDeal with airlines to gain additional space for emergence request.
Third party shuttle vendor
nContact third party timely for special request from Network.
Offload achieve RO target.
Internal
Gateway and Hubs
Handle operational communications with other Gateway and Hubs regarding inbound & outbound operations, adhering to standards and protocols for pre-alert, faxes, e-mails, STM and other communications with the DHL network.Timely and accurately response to all requirement from Network.
Local country office
§Interface with local country customer service on service problems and enquiries.
T.T. performances achieves RO target.
Process
Requests Management
§Actions for all inbound alerts and transmit the information to the relevant parties.
§Answer all incoming shipment / service requests to ensure compliance with the network response standards.
Data Management
§Enter accurate data for inbound/outbound shipments and/or flights where required is entered and maintained.
§Ensure data is sent to the correct sectors for all flights logged in the computer database for transmission to the final destination.
Service Information & Network Communication
nProper reporting for all incident and gateway performance to the Network.
nIdentify and action exception handling according to exception handling procedures, including proactive updating the relevant databases.
nPrepares daily operations/recap summaries and disseminates to the network.
nReports on progress and resolution of incidents, e.g. offload issues, alternative uplift and security cases.
Achieve RO TSP requirement.
People - Management
Incumbent has no direct reports and authority over country line and functional personnel. Nevertheless he/she must be able to demonstrate ability to influence decisions/actions through provision of value-added inputs into the organisation’s business processes.
Act as a mentor for the trainees/ Government Apprentices/ Probationers and train them.
Impart First Aid training to the employees.
Conduct refresher course for the employees.
Imparting on-the-job training to new comers, trainees/ apprentices, evaluating their progress during the training period and recommending – for probation or termination – based on performance.
Recommending leave for the trainees/ apprentices/ probationers.
Performance appraisal/ recommending salary increase of the trainees/ probationers.
Selection of trainees/ apprentices, assessing the candidature and recommending.
Informal influence to enable improvement and change within the organisation

Skills / Qualifications
Key capabilities
Skills
§Software skills (Word, Excel, PowerPoint, etc.)
§Communication skills (English), spoken and written
Competences
Competency segment ‘Business’
Analysis:Breaks down a problem, situation or process into its component parts, separates the main issues from side-issues, understands the nature of parts and their relationship to one another. Seeks out and critically evaluates both numerical and narrative information. Draws accurate conclusions.
Planning & Organizing: Sets clear and realistic goals and objectives. Establishes a course of action and a sequence of steps to ensure that activities and objectives are efficiently achieved. Is structured with good personal organization. Schedules time effectively and uses efficient work methods and tools.
Decision Making: Makes timely and appropriate choices based on accurate analysis and experience. Uses sound judgment even in conditions of uncertainty. Anticipates impact of decisions and plans how to manage risk.
Results Orientation: Continually seeks to accomplish critical tasks with measurable results. Overcomes obstacles and makes adjustments to achieve results. Focuses self and others to achieve targets aligned with business goals.
Competency segment ‘Leadership’
Teamwork: Works cooperatively with others to achieve target and objectives. Accomplishes own tasks in support of team goals and actively offers to help colleagues. Supports group decisions.
Competency segment ‘Personal’
Accountability: Acts responsibly. Can be counted on to keep commitments. Complies with the intent of policies, procedures and agreements. Builds others' trust in own professionalism, integrity, expertise and ability to get results.
Communication: Provides both verbal and written information in a timely, clear and concise manner. Expresses ideas effectively, adjusting style, tools and mode to the needs of others. Listens attentively, and summarizes or asks questions, when needed, to clarify information.
Self Management: Remains calm, objective and controlled in responding to urgent or demanding situations. Maintains effective performance under pressure. Stays positive.
Expected years of experience
TBA
Educational Qualifications
TBA

Signatures
Prepared By:
Hiring Manager
NCG Manager
Approved By:
Ashutosh Bajpai
VP - Operations
Approved by:
Sunjoy Dhaawan
VP - Human Resource
Signature:
Signature:
Signature:
Date:
Date:
Date:

Minimum qualification : Graduation.",4 days ago,www.indeed.co.in/rc/clk?jk=4ad4fcb13151e3a3&fccid=5b8d10630cb111eb&vjs=3,Not mentioned
663,"Post Doctoral Fellowship
new",IIT Roorkee,"Roorkee, Uttarakhand","Last date for submission of application is 28 July, 2020.
To Apply for the job posting from IIT Roorkee, please click on the Apply Now button below.","IIT Roorkee Recruitment 2020 - Post Doctoral Fellowship Vacancies - 60,000 Salary - Apply NowIIT Roorkee Recruitment 2020-21: Employees State Insurance Corporation (IIT Roorkee) announced Job notification to hire candidates who completed M.Phil/Ph.D,MD Pathology,MS/MD for the position of Post Doctoral Fellowship. To Apply for the job posting from IIT Roorkee, please click on the Apply Now button below.Company Name: IIT Roorkee
Post Name: Post Doctoral Fellowship
No of Posts: 1
Salary: 55,000 - 60,000 (Per Month)
Experience: 2 - 5 years
Education: M.Phil/Ph.D,MD Pathology,MS/MD
Location: Roorkee
Last Date: 28-07-2020
Selection Procedure: Selection Will be Based either Written Exam/Interview

How To Apply:
1. Candidates can apply with cover letter, curriculum vitae, list of publications, research statement describing past research and plans for future research by both regular and e-mail, to: Professor and Head Department of Biotechnology, Indian Institute of Technology Roorkee, Roorkee - 247667 INDIA

2. Email: biotech@iitr.ac.in (and copy to partha.roy@bt.iitr.ac.in)

3. Last date for submission of application is 28 July, 2020. Department intends to fill the said position by August 10, 2020.",4 days ago,www.indeed.co.in/rc/clk?jk=fa01946ef69dea79&fccid=33af0960d0297b67&vjs=3,"₹55,000 - ₹60,000 a month"
664,"Process Associate- Purchase to Pay
new",Siemens AG,"Bengaluru, Karnataka","Functional Shared Services is an international cross-function unit with three elements: Regions (customer-facing organizations), Business Lines (responsible for…","This is your role. What part will you play?
Functional Shared Services is an international cross-function unit with three elements: Regions (customer-facing organizations), Business Lines (responsible for product portfolio and development) and Global Operations with six delivery centers (responsible for the delivery of services). We in India hosts the delivery center under the global operations and the region function for Asia, America, Europe etc. It provides Accounting and Finance Services, Human Resource Services, Supply Chain Management Services, Call Center Services, and several regional expertise-based services to Siemens and Non-Siemens Companies worldwide.
Change the future with us
Your core responsibility would be to provide outstanding service to the Siemens customer through calls and emails and converting PR to PO.
You will be Tracking and maintaining quick resolution time of Queries
You will be sensitive to customer queries and operational timelines
You will be working on collaboration with Operational team and Interact with different stake holders
We don’t need superheroes, just super minds
You have successfully Graduated in any discipline and knowledge of SAP, SRM, P2P process
You are will self-determination, learning, communication Skills, network, built on trust, team Player, Customer Focus, Professional Ethics, Siemens Value
You have good interpersonal communication skills
We’ve got quite a lot to offer. How about you?
This role will be in Bangalore, where you’ll get the chance to work with teams impacting entire cities, countries – and the craft of things to come.
We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality and we welcome applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us craft tomorrow.
Find out more about Siemens at: www.siemens.com/careers

Organization: Global Business Services
Company: Siemens Technology and Services Private Limited
Experience Level: Early Professional
Job Type: Full-time",1 day ago,www.indeed.co.in/rc/clk?jk=b00e76d493acd98b&fccid=3b89b9ec324f96c8&vjs=3,Not mentioned
665,"Content Writer
new",Kochar Tech,"Amritsar, Punjab","Recommend innovative and creative ideas for writing content that significantly impacts readership.
Responsible for writing company’s webpage content, articles…","Job Description:
Responsible for writing company’s webpage content, articles and content for online help.
Standardize content across platforms and media.
Proof reading, editing and writing content on a regular basis for building up the website including informative articles.
Recommend innovative and creative ideas for writing content that significantly impacts readership.

Desired Candidate Profile:
Must be creative.

Ability to meet deadlines.

Good research skill.

Freshers are also welcome.


Experience:
0-1 yr",3 days ago,www.indeed.co.in/rc/clk?jk=cace144e2a423c7d&fccid=13aac9a37ca0a7d8&vjs=3,Not mentioned
666,profile for B3,Wipro LTD,"Bengaluru, Karnataka","If you encounter any suspicious mail, advertisements or persons who offer jobs at Wipro, please do let us know by contacting us on helpdesk.recruitment@wipro…","Bangalore, India
 NONE
 52109
Job Description
· Robotics Process Automation project experience with one or more RPA technology e.g., Blue Prism, UiPath, Automation Anywhere. · Test Automation knowledge is mandatory. · Experience with Process Analysis, Design, and Implementation of it. · Experience in using various automation components e.g. Control · Strong Problem-Solving and Analytical Skills. · Experience in standard testing methodologies · Candidate should have good communication skills

Roles and Responsibilities
Experience Range: 1-2 Years
We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, sexual orientation, disability status, protected veteran status, or any other characteristic protected by law. Any complaints or concerns regarding the recruitment, application or hiring process should be directed to our Ombuds group www.wiproombuds.com. Any US applicant can also call our hotline at 1-866-921-6714. Applicants outside the US can request the applicable hotline number via email via the Ombuds group.
Wipro does not charge any fee at any stage of the recruitment process and has not authorized agencies/partners to collect any fee for recruitment. If you encounter any suspicious mail, advertisements or persons who offer jobs at Wipro, please do let us know by contacting us on helpdesk.recruitment@wipro.com",12 days ago,www.indeed.co.in/rc/clk?jk=750ed983d273f898&fccid=8d25321c1defe73f&vjs=3,Not mentioned
667,Computer operator & Back office,Ram Babu Jatav (proprietor of Ulimate services),"Kashipur, Uttarakhand","We are looking for Computer Operator in Back Office, Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he…","We are looking for Computer Operator in Back Office, Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be operating with delicate information. He will also do filing, copying, and Print Document as required.
Responsibilities: -
â€¢Maintain database on regular basis.
â€¢Scan And Print documents.
â€¢Verify data and correct database.
â€¢Review and verify the entries.
â€¢Give the regular Detail of business.
â€¢Transfer data from PDF formats in system.
â€¢Maintain the records Confidential.
Required Skills and Qualifications: -
â€¢Knowledge of MS Office
â€¢Good typing speed.
â€¢Communication skills-oral and written.
â€¢Any Diploma/Degree 12th with good typing skills.
â€¢Knowledge of Internet Browsing.
â€¢Age - 18 To 28 Yr.
Benefits: -
â€¢No Target
â€¢Fixed Shift
â€¢Parking Free
â€¢Incentives
â€¢Fresherâ€™s Welcome
â€¢
Contact Hr. . . Ayesha Mehta 08588913648",30+ days ago,www.indeed.co.in/rc/clk?jk=c98cd7a9611cafd9&fccid=d45cd7e17c48425b&vjs=3,"₹3,70,000 - ₹8,19,999 a year"
668,"Assistant Professor
new",GNLU,"Gandhinagar, Gujarat","Considered for walk in interview after 1030 Hrs.).
Qualified female, reserved category, minority candidates are strongly encouraged.
Last Date: 24-07-2020.","GNLU Assistant Professor Recruitment 2020 - 57700 Salary - Apply NowGNLU Recruitment 2020-21: Employees State Insurance Corporation (GNLU) announced Job notification to hire candidates who completed Any Masters Degree for the position of Assistant Professor. To Apply for the job posting from GNLU, please click on the Apply Now button below.Company Name: GNLU
Post Name: Assistant Professor
No of Posts: 1
Salary: 57,700 ( )
Experience: 2 - 5 years
Education: Any Masters Degree
Location: Gandhinagar
Last Date: 24-07-2020
Selection Procedure: Selection Will be Based either Written Exam/Interview

How To Apply:
This appointment is for 364 days duration.
1. The University retains the discretion not to make any appointment to this vacancy, to make an
appointment at a revised remuneration for deserving and experienced candidates, or to make an
appointment with modified job description and to fix revised qualification and requirements.
2. Walk in Interview Date: Friday, 24 July 2020. Reporting time for walk in Interview: 1030 hrs (No candidate shall be
considered for walk in interview after 1030 Hrs.)
3. Qualified female, reserved category, minority candidates are strongly encouraged.
4. Candidates are required to bring three copies of their resume with photograph affixed on all copies, original and one
set of photocopy of their Academic certificates, Experience certificate and other documents.
5. Candidates are required to follow the COVID – 19 Guidelines issued by the Government of Gujarat

Role and Responsibilities

Under the direct supervision of the Head (Dean) – Academic Affairs and over all supervision of the Director and the Registrar, you shall perform the following roles and responsibilities:

(i) Conduct teaching according to the GNLU Academic Regulations and Rules with an aim to achieve the highest possible academic and research standards of the University

(ii) Provide teaching and research assistance to Professors and Associate Professors

(iii) Plan, develop, undertake teaching, research, extension and training activities in consultation with other departments and external institutions, as required, to deliver quality and effective public and private services of the GNLU and achieve the GNLU vision

(iv) Actively participate in developing high standards of curriculum in accordance with the emerging trends and in response to the interdisciplinary developments in relevant area

(v) Organize student centric workshops, training, conferences, round table discussions in relevant area

(vi) Develop, plan, execute, monitor and report interdisciplinary research in collaboration with external universities, institutions, government departments, industrial and economic agencies, judiciary within India and abroad

(vii) Participate in teaching and research at the GNLU and GNLU organized joint courses with external institutions, in consultation with the Curriculum Committee

(viii) Perform any other duties including administrative, coordination as required by University from time to time.",Today,www.indeed.co.in/rc/clk?jk=c70aae1008967e21&fccid=21e8f5ff733dedeb&vjs=3,"₹57,700 a month"
669,"CCB KYC Checker
new",Citi,"Mumbai, Maharashtra","Responsible for processing a small CADD population, preferably complex cases that need higher level of experience/attention to detail.","The Compliance AML KYC Analyst 1 is an entry-level position responsible for participating in Anti-Money Laundering (AML) monitoring, governance, oversight and regulatory reporting activities in coordination with the Compliance and Control team. The overall objective of this role is to assist in the development and management of a dedicated internal KYC (Know Your Client) program at Citi.

Responsibilities:
Partner with Relationship Management and Compliance teams to assist with the preparation, development, due diligence and approval of the electronic Know Your Client (KYC) record and supporting appendices
Create and maintain KYC records by obtaining information from internal and external sources (firm website, regulatory websites, etc.)
Partner with Relationship Management and Compliance teams to update system information from initiation to approval of KYC record and report workflow progress to supervisor
Validate the information within KYC records and Customer Identification Program (CIP) documents to ensure completion and accuracy
Ensure KYC records incorporate local regulatory requirements / Global Business Support Unit (BSU) Standards
Maintain BSU tool
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
Previous relevant experience preferred
Education:
Bachelor's degree/University degree or equivalent experience
Organizational
Support Operations Head, Team Lead, and case managers in the completion of CADDs
Conduct the performance appraisals process for junior staff and assess their developmental needs
Develop coverage/succession plan for out of office/ holidays and vacation scenarios
Operational
Responsible for the execution/completion of CADD Records assigned to the pod and quality control of the completed CADD Records
Responsible for checking all CADDs within team, and capturing rejection reasons per CADD checked
Meet Case Managers on daily basis to discuss WIP CADDs and for provide feedback based to them based on CADDs checked
Mentor and coach Case Managers on an ongoing basis
Acts as expediter for chasing up 1st level escalations within the BSU organization
Ensure that relationship/coverage team gets the expected service within the agreed timelines and facilitate calls where deemed necessary
Act as the country coordinator (or participate actively when the CM is the country coordinator – a) coordinate periodic country calls; b) liaise with compliance; c) be the primary contact for country management for KYC related matters
Monitor workflow database daily and ensure that various CADD activities are getting competed in-time and as expected
Resolve any issues in performance or in quality of CADD records and escalate to Team Lead / Operations Head wherever necessary
Proactively identifies and resolves any other execution risks and issues, escalating Issues to RM Supervisor, Compliance, Operations Head etc. to ensure CADDs progress
Responsible for processing a small CADD population, preferably complex cases that need higher level of experience/attention to detail
Conduct calibration sessions to standardize knowledge across SCMs
Review/implement feedback from Compliance and BSG (as applicable) to ensure continuous improvements
Monitor their pipeline of work daily (e.g. coming due) and ensure actioned as per agreed timelines Ensure data quality in the BSU/FCB tool with periodic checks
Provide support and cover to the SCMs within BSU on generic activities such as Checker Hub
Communication / Reporting
Manage upward communication – Huddle updates, escalations, issues/ concerns etc.
Track and report time log (CMs and Case Researcher) on a daily basis
Monitor operational metrics required for management level reporting
Knowledge/Experience:
Graduates with 2-4 years of work experience with basic understanding of relevant banking practices, corporate policies and compliance requirements.
Good command of reading and writing English.
Good PC skills with ability to pick up new software systems.
Co-operative, proactive with high sense of responsibility & teamwork
Ability to work under pressure and in a volatile environment
Attention to details with high accuracy in work; Strive for process improvement.
Display the ability to prioritize effectively in order to meet routine processing deadlines
Flexible enough to work as per Business timings.
Skills:
Proven ability to work independently and be self-starter
Fluent in English/German/French/Arabic
Exceptional organization and process management ability
Intermediate technical skills including intermediate working knowledge of Microsoft Office (Excel, Word, PowerPoint, etc.) a plus
Demonstrated ability to prioritize, multi-task and work within tight and changeable timeframe while still maintaining high level of accuracy
Strong analytical skills and time management skills, excellent attention to details
Excellent written and verbal communication skills and aptitude in communicating with senior management
Ability to work with internal stakeholders (e.g. Coverage, Quality Assurance, Compliance) & partners (e.g. Training, Communications, Senior Management) to develop and execute on process enhancements and simplifications
Qualifications:
University degree preferably in Business/Finance, Math, Economics, Engineering, Optimization, or Law.
Competencies:
Pro-active thinking and execution abilities
Detailed oriented balanced with a strategic view
Demonstrated effectiveness in people management – in particular motivation, development, and teamwork
Demonstrated effectiveness process management – in particular target setting , prioritization and operational effectiveness
Ability to multitask and prioritize
Ability to work well under pressure and tight time frames
Manage up effectively
MIS and metrics and efficiency analysis skills – ability to benchmark and track performance improvement
Pro-active, flexible, have good organizational skills and must be team player.
Ability to work in a dynamic environment.
-
Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - IN
-
Time Type :
-
Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity .
To view the ""EEO is the Law"" poster . To view the EEO is the Law Supplement .
To view the EEO Policy Statement .
To view the Pay Transparency Posting .",1 day ago,www.indeed.co.in/rc/clk?jk=b623af877944810d&fccid=5bcd1ef0a7f4fb99&vjs=3,Not mentioned
